Recency,Frequency,Monetary,Model K = 2,Model K = 3,Model K = 4,Model K = 5
726,1,109598,1,2,2,4
689,1,112147,1,1,3,3
671,1,112147,1,1,1,1
760,1,112995,0,2,2,2
760,1,112995,0,2,2,2
716,1,109598,1,2,2,4
706,1,119935,1,1,3,4
663,1,22090,1,1,1,1
733,2,1649613,0,2,2,2
712,1,140609,1,2,3,4
680,1,112147,1,1,3,3
672,1,112147,1,1,1,1
679,1,112147,1,1,3,3
791,1,115200,0,0,0,0
688,1,112147,1,1,3,3
762,1,101835,0,2,2,2
674,1,224294,1,1,3,3
712,1,109598,1,2,3,4
754,1,112995,0,2,2,2
779,1,115875,0,0,0,0
780,1,114475,0,0,0,0
760,1,112995,0,2,2,2
717,1,109598,1,2,2,4
751,1,112995,0,2,2,2
783,1,71017,0,0,0,0
778,2,251248,0,0,0,0
760,1,192510,0,2,2,2
667,1,123192,1,1,1,1
789,1,114475,0,0,0,0
700,1,109598,1,1,3,4
694,1,109598,1,1,3,3
664,1,219053,1,1,1,1
725,1,114696,1,2,2,4
789,1,194049,0,0,0,0
663,1,112147,1,1,1,1
650,1,127440,1,1,1,1
691,1,109598,1,1,3,3
756,1,186093,0,2,2,2
781,1,124384,0,0,0,0
718,1,130272,1,2,2,4
791,1,115200,0,0,0,0
718,1,328795,1,2,2,4
688,1,112147,1,1,3,3
780,1,114475,0,0,0,0
693,1,109598,1,1,3,3
762,1,112995,0,2,2,2
718,1,219197,1,2,2,4
785,1,125704,0,0,0,0
689,1,112147,1,1,3,3
678,1,112147,1,1,3,3
761,1,112995,0,2,2,2
751,1,112995,0,2,2,2
669,1,112147,1,1,1,1
674,1,95147,1,1,1,1
669,2,369576,1,1,3,3
670,1,112147,1,1,1,1
652,1,112147,1,1,1,1
772,1,111744,0,0,0,0
762,1,133362,0,2,2,2
678,1,112147,1,1,3,3
655,1,224294,1,1,1,1
722,1,112147,1,2,2,4
653,1,112147,1,1,1,1
692,1,219197,1,1,3,3
756,1,186093,0,2,2,2
683,1,112147,1,1,3,3
686,1,112147,1,1,3,3
770,1,112617,0,2,2,2
648,1,110873,1,1,1,1
687,1,112147,1,1,3,3
677,1,224294,1,1,3,3
756,1,27900,0,2,2,2
765,1,112617,0,2,2,2
792,1,51240,0,0,0,0
667,1,112147,1,1,1,1
777,1,112617,0,0,0,0
726,1,109598,1,2,2,4
652,1,112147,1,1,1,1
731,1,109598,1,2,2,4
761,1,202694,0,2,2,2
749,1,181443,0,2,2,2
688,1,112147,1,1,3,3
700,1,109598,1,1,3,4
654,1,112147,1,1,1,1
669,1,112147,1,1,1,1
677,1,104973,1,1,3,3
664,1,112147,1,1,1,1
761,1,133362,0,2,2,2
670,1,123192,1,1,1,1
663,1,112147,1,1,1,1
712,1,109598,1,2,3,4
759,1,112995,0,2,2,2
775,1,112617,0,0,0,0
770,1,111744,0,2,2,2
715,1,119935,1,2,2,4
784,1,114475,0,0,0,0
775,2,341566,0,2,2,2
705,1,219197,1,2,3,4
658,1,134237,1,1,1,1
761,1,221340,0,2,2,2
777,1,110617,0,0,0,0
760,1,112995,0,2,2,2
700,1,109598,1,1,3,4
726,2,283694,1,2,2,4
663,1,112147,1,1,1,1
719,1,112147,1,2,2,4
655,1,112147,1,1,1,1
764,1,112617,0,2,2,2
761,1,112995,0,2,2,2
762,1,112995,0,2,2,2
727,1,55224,1,2,2,4
682,1,112147,1,1,3,3
779,1,115715,0,0,0,0
779,1,228949,0,0,0,0
656,1,112147,1,1,1,1
800,1,140000,0,0,0,0
710,1,109598,1,2,3,4
768,1,112617,0,2,2,2
785,1,207208,0,0,0,0
648,1,110873,1,1,1,1
789,1,124384,0,0,0,0
791,1,115200,0,0,0,0
667,1,112147,1,1,1,1
761,1,112995,0,2,2,2
725,1,114696,1,2,2,4
791,1,115200,0,0,0,0
663,1,112147,1,1,1,1
748,1,186093,0,2,2,2
760,1,112995,0,2,2,2
767,1,114297,0,2,2,2
760,1,112995,0,2,2,2
670,1,112147,1,1,1,1
798,1,120000,0,0,0,0
662,1,112147,1,1,1,1
663,1,22090,1,1,1,1
681,1,224294,1,1,3,3
665,1,112147,1,1,1,1
679,1,246384,1,1,3,3
659,1,33134,1,1,1,1
718,1,328795,1,2,2,4
770,1,112617,0,2,2,2
774,1,111744,0,0,0,0
785,1,203878,0,0,0,0
663,1,112147,1,1,1,1
668,1,112147,1,1,1,1
757,1,183954,0,2,2,2
695,1,109598,1,1,3,3
672,1,112147,1,1,1,1
762,1,112995,0,2,2,2
762,1,112995,0,2,2,2
663,1,123192,1,1,1,1
667,1,112147,1,1,1,1
759,1,192510,0,2,2,2
728,1,109598,1,2,2,4
652,1,224294,1,1,1,1
665,1,112147,1,1,1,1
772,1,111744,0,0,0,0
772,1,140989,0,2,2,2
680,1,246384,1,1,3,3
688,1,112147,1,1,3,3
766,1,112617,0,2,2,2
694,1,109598,1,1,3,3
730,1,109598,1,2,2,4
729,1,109598,1,2,2,4
766,1,114217,0,2,2,2
649,1,122059,1,1,1,1
694,1,109598,1,1,3,3
729,1,109598,1,2,2,4
663,1,112147,1,1,1,1
669,1,112147,1,1,1,1
663,1,112147,1,1,1,1
760,1,112995,0,2,2,2
650,1,112147,1,1,1,1
765,1,112617,0,2,2,2
680,1,112147,1,1,3,3
669,1,112147,1,1,1,1
726,1,109598,1,2,2,4
688,1,123192,1,1,3,3
761,1,112995,0,2,2,2
762,1,112995,0,2,2,2
733,1,109598,0,2,2,4
793,1,255400,0,0,0,0
768,1,112617,0,2,2,2
689,1,112147,1,1,3,3
798,1,121320,0,0,0,0
748,1,186093,0,2,2,2
794,1,115200,0,0,0,0
655,1,112147,1,1,1,1
687,1,112147,1,1,3,3
785,1,9909,0,0,0,0
651,1,112147,1,1,1,1
727,1,109598,1,2,2,4
659,1,112147,1,1,1,1
680,1,112147,1,1,3,3
701,1,150946,1,1,3,4
786,2,234475,0,0,0,0
797,1,120000,0,0,0,0
710,1,109598,1,2,3,4
722,1,145282,1,2,2,4
780,1,114475,0,0,0,0
