Recency,Frequency,Monetary,Recency_Norm,Frequency_Norm,Monetary_Norm,Model K = 2,Model K = 3,Model K = 4,Model K = 5
666,1,112147,0.11111111111111072,0.0,0.04330755792130518,1,1,1,1
774,1,113064,0.7777777777777777,0.0,0.04366167377472825,0,0,0,0
670,1,112147,0.13580246913580218,0.0,0.04330755792130518,1,1,1,1
759,1,187860,0.6851851851851851,0.0,0.07254547897934312,0,2,2,2
711,1,31010,0.3888888888888884,0.0,0.011975062829497658,1,2,3,4
663,1,112147,0.09259259259259256,0.0,0.04330755792130518,1,1,1,1
663,1,112147,0.09259259259259256,0.0,0.04330755792130518,1,1,1,1
668,1,123192,0.12345679012345645,0.0,0.047572781041324584,1,1,1,1
791,1,115200,0.882716049382716,0.0,0.04448652815085876,0,0,0,0
670,1,112147,0.13580246913580218,0.0,0.04330755792130518,1,1,1,1
799,1,121480,0.9320987654320989,0.0,0.0469116618035271,0,0,0,0
663,1,123192,0.09259259259259256,0.0,0.047572781041324584,1,1,1,1
